title,artist,date,category,medium,id,url,image
Memória de Maria,Maurício Fridman,1976;,Colagem | Impresso | Livro de Artista,acrílica sobre tela e offset sobre papel,20026,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20026,
Canto Primeiro,Maurício Fridman,1976;,Impresso | Livro de Artista,offset sobre papel,20025,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20025,
Jaula da Anta,Gabriel Borba,1976;,Colagem | Impresso | Livro de Artista,"offset, fiapos de corda, lasca de madeira, pena e aquarela líquida sobre papel vegetal sobre offset sobre papel",20024,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20024,
Hino dos Vencidos,Gabriel Borba,1976;,Colagem | Impresso | Livro de Artista,acrílica e offset sobre papel vegetal sobre offset sobre papel,20023,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20023,
Tachas,Gabriel Borba,1973 – 1975;,Colagem | Impresso | Livro de Artista,tacha de metal e papel de seda corrugado e perfurado sobre offset sobre papel perfurado,20022,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20022,
D'après Van Gogh,Gabriel Borba,1976;,Colagem | Impresso | Livro de Artista,offset em cores e algodão sobre papel vegetal colado sobre offset sobre papel,20021,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20021,
Nós,Gabriel Borba,1975;,Colagem | Impresso | Livro de Artista,offset em cores e fio de seda sobre papel vegetal colado sobre offset sobre papel,20020,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20020,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/5/94841_ca_object_representations_media_530_large.jpg
Projeto 158-2 transformação: Pícnico-astênico (Kretschmer) B,Letícia Parente,1975;,Fotografia | Fotomontagem,fotografia pb sobre papel,20019,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20019,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/1/9/99965_ca_object_representations_media_1980_large.jpg
Projeto 158-1 transformação: Pícnico-astênico (Kretschmer) A,Letícia Parente,1975;,Fotografia | Fotomontagem,fotografia pb sobre papel,20018,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20018,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/8/8/32540_ca_object_representations_media_8897_large.jpg
12 Ejercicios de Medición sobre la Ciudad de Córdoba,Isidoro Valcárcel Medina,1974;,Projeto de ação | Registro de ação,fotocópia e caneta hidrográfica sobre papel colados sobre papel e heliografia sobre papel,20017,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20017,
Examen,Isidoro Valcárcel Medina,1975;,Colagem,"datilografia, caneta esferográfica, grafite, caneta hidrográfica e offset sobre papel, fio de nylon e fita adesiva colados sobre papel",20016,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20016,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/45447_ca_object_representations_media_6985_large.jpg
"3 Mujeres, 3 Posturas, 3 Posiciones Relativas",Isidoro Valcárcel Medina,1976;,Colagem | Impressão fotomecânica,fotocópia sobre papel colado sobre papel,20015,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20015,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/94401_ca_object_representations_media_6984_large.jpg
Sem título,Isidoro Valcárcel Medina,1973;,Impressão fotomecânica,heliografia sobre papel,20014,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20014,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/53946_ca_object_representations_media_6968_large.jpg
Sem título,Isidoro Valcárcel Medina,1973;,Impressão fotomecânica,"heliografia, caneta hidrográfica e caneta esferográfica sobre papel",20013,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20013,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/86176_ca_object_representations_media_6967_large.jpg
Reseña de Cintes Magnéticas Presentes nesta Exposición: Conversaciones Telefónicas y Motores,Isidoro Valcárcel Medina,1973;,Colagem | Registro de ação,datilografia e caneta hidrográfica sobre papel e fita adesiva colados sobre papel,20012,https://acervo.mac.usp.br/acervo/index.php/Detail/objects/20012,https://acervo.mac.usp.br/acervo/media/collectiveaccess/images/6/9/61293_ca_object_representations_media_6983_large.jpg
